"faa","flight_date","name","city","total_planned_flights","total_actual_flights","total_cancelled_flights","total_diverted_flights","cancellation_percentage","diversion_percentage"
IAH,2017-08-26,George Bush Intercontinental Houston Airport,Houston,586,182,393,20,67.06,3.41
HOU,2017-09-06,William P Hobby Airport,Houston,300,233,50,18,16.67,6.00
HOU,2017-09-04,William P Hobby Airport,Houston,282,178,89,15,31.56,5.32
IAH,2017-08-02,George Bush Intercontinental Houston Airport,Houston,776,767,9,15,1.16,1.93
IAH,2017-09-18,George Bush Intercontinental Houston Airport,Houston,721,715,6,13,0.83,1.80
HOU,2017-09-05,William P Hobby Airport,Houston,300,203,86,13,28.67,4.33
HOU,2017-08-26,William P Hobby Airport,Houston,254,114,131,10,51.57,3.94
HOU,2017-08-29,William P Hobby Airport,Houston,304,0,296,8,97.37,2.63
HOU,2017-09-20,William P Hobby Airport,Houston,300,296,5,6,1.67,2.00
HOU,2017-09-18,William P Hobby Airport,Houston,302,297,5,5,1.66,1.66
IAH,2017-09-16,George Bush Intercontinental Houston Airport,Houston,536,534,2,5,0.37,0.93
IAH,2017-08-06,George Bush Intercontinental Houston Airport,Houston,729,724,4,5,0.55,0.69
HOU,2017-08-07,William P Hobby Airport,Houston,326,293,32,5,9.82,1.53
IAH,2017-08-11,George Bush Intercontinental Houston Airport,Houston,771,767,4,4,0.52,0.52
IAH,2017-09-07,George Bush Intercontinental Houston Airport,Houston,608,602,6,4,0.99,0.66
IAH,2017-09-21,George Bush Intercontinental Houston Airport,Houston,728,724,4,4,0.55,0.55
IAH,2017-08-22,George Bush Intercontinental Houston Airport,Houston,652,648,4,4,0.61,0.61
IAH,2017-08-05,George Bush Intercontinental Houston Airport,Houston,649,643,6,3,0.92,0.46
IAH,2017-08-04,George Bush Intercontinental Houston Airport,Houston,775,771,4,3,0.52,0.39
IAH,2017-08-19,George Bush Intercontinental Houston Airport,Houston,605,605,0,3,0.00,0.50
HOU,2017-08-02,William P Hobby Airport,Houston,326,321,5,3,1.53,0.92
IAH,2017-09-20,George Bush Intercontinental Houston Airport,Houston,654,651,2,3,0.31,0.46
IAH,2017-09-24,George Bush Intercontinental Houston Airport,Houston,679,677,2,3,0.29,0.44
HOU,2017-09-14,William P Hobby Airport,Houston,302,293,9,2,2.98,0.66
IAH,2017-08-03,George Bush Intercontinental Houston Airport,Houston,773,766,7,2,0.91,0.26
HOU,2017-08-30,William P Hobby Airport,Houston,304,0,302,2,99.34,0.66
HOU,2017-08-05,William P Hobby Airport,Houston,267,261,6,2,2.25,0.75
IAH,2017-09-19,George Bush Intercontinental Houston Airport,Houston,650,649,1,2,0.15,0.31
IAH,2017-08-07,George Bush Intercontinental Houston Airport,Houston,777,729,48,2,6.18,0.26
IAH,2017-08-14,George Bush Intercontinental Houston Airport,Houston,765,762,3,2,0.39,0.26
IAH,2017-09-22,George Bush Intercontinental Houston Airport,Houston,727,725,2,2,0.28,0.28
IAH,2017-09-23,George Bush Intercontinental Houston Airport,Houston,537,535,2,2,0.37,0.37
HOU,2017-09-01,William P Hobby Airport,Houston,304,16,286,2,94.08,0.66
CRP,2017-08-29,Corpus Christi International Airport,Corpus Christi,14,2,12,2,85.71,14.29
HOU,2017-09-08,William P Hobby Airport,Houston,298,294,4,2,1.34,0.67
HOU,2017-08-31,William P Hobby Airport,Houston,306,7,297,2,97.06,0.65
IAH,2017-08-08,George Bush Intercontinental Houston Airport,Houston,772,766,6,2,0.78,0.26
HOU,2017-09-21,William P Hobby Airport,Houston,302,300,2,1,0.66,0.33
IAH,2017-09-11,George Bush Intercontinental Houston Airport,Houston,719,637,82,1,11.40,0.14
HOU,2017-09-27,William P Hobby Airport,Houston,300,298,2,1,0.67,0.33
HOU,2017-09-02,William P Hobby Airport,Houston,213,59,154,1,72.30,0.47
IAH,2017-09-14,George Bush Intercontinental Houston Airport,Houston,727,714,13,1,1.79,0.14
IAH,2017-09-15,George Bush Intercontinental Houston Airport,Houston,721,715,6,1,0.83,0.14
IAH,2017-08-01,George Bush Intercontinental Houston Airport,Houston,771,771,0,1,0.00,0.13
HOU,2017-09-28,William P Hobby Airport,Houston,302,301,1,1,0.33,0.33
HOU,2017-08-17,William P Hobby Airport,Houston,308,303,5,1,1.62,0.32
IAH,2017-08-17,George Bush Intercontinental Houston Airport,Houston,729,726,3,1,0.41,0.14
HOU,2017-08-10,William P Hobby Airport,Houston,326,323,4,1,1.23,0.31
IAH,2017-08-21,George Bush Intercontinental Houston Airport,Houston,727,726,1,1,0.14,0.14
IAH,2017-08-20,George Bush Intercontinental Houston Airport,Houston,709,709,0,1,0.00,0.14
HOU,2017-08-19,William P Hobby Airport,Houston,258,257,1,1,0.39,0.39
HOU,2017-09-11,William P Hobby Airport,Houston,302,252,50,1,16.56,0.33
IAH,2017-08-24,George Bush Intercontinental Houston Airport,Houston,724,724,0,1,0.00,0.14
LCH,2017-08-24,Lake Charles Regional Airport,Lake Charles,6,6,0,1,0.00,16.67
IAH,2017-08-27,George Bush Intercontinental Houston Airport,Houston,693,13,679,1,97.98,0.14
HOU,2017-08-12,William P Hobby Airport,Houston,267,266,1,1,0.37,0.37
CRP,2017-09-05,Corpus Christi International Airport,Corpus Christi,14,13,1,1,7.14,7.14
IAH,2017-09-01,George Bush Intercontinental Houston Airport,Houston,729,224,505,1,69.27,0.14
IAH,2017-09-02,George Bush Intercontinental Houston Airport,Houston,528,294,234,1,44.32,0.19
HOU,2017-08-25,William P Hobby Airport,Houston,306,250,56,1,18.30,0.33
HOU,2017-08-03,William P Hobby Airport,Houston,326,316,10,1,3.07,0.31
IAH,2017-08-10,George Bush Intercontinental Houston Airport,Houston,772,769,3,1,0.39,0.13
IAH,2017-09-08,George Bush Intercontinental Houston Airport,Houston,627,611,16,1,2.55,0.16
HOU,2017-07-30,William P Hobby Airport,Houston,315,315,0,0,0.00,0.00
