"faa","name","city","flight_date","total_planned_flights","total_actual_flights","total_cancelled_flights","total_diverted_flights","cancellation_percentage","diversion_percentage","avg_dep_delay","avg_arr_delay","avg_temperature_c","daily_precipitation","daily_average_wind_speed","avg_pressure_hpa"
CRP,Corpus Christi International Airport,Corpus Christi,2017-07-28,15,15,0,0,0.00,0.00,35.8571428571428571,23.2500000000000000,29.4,0.0,16.9,1013.4
CRP,Corpus Christi International Airport,Corpus Christi,2017-07-29,10,10,0,0,0.00,0.00,-4.0000000000000000,13.0000000000000000,29.5,0.0,15.5,1012.2
CRP,Corpus Christi International Airport,Corpus Christi,2017-07-30,14,14,0,0,0.00,0.00,2.4285714285714286,-1.4285714285714286,29.0,0.0,14.0,1013.0
CRP,Corpus Christi International Airport,Corpus Christi,2017-07-31,16,16,0,0,0.00,0.00,3.0000000000000000,11.7500000000000000,29.4,0.0,10.8,1014.0
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-01,14,14,0,0,0.00,0.00,-4.1428571428571429,10.1428571428571429,29.3,0.0,10.8,1013.8
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-02,12,12,0,0,0.00,0.00,-1.6666666666666667,11.8333333333333333,29.1,0.0,10.8,1013.8
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-03,14,14,0,0,0.00,0.00,3.8571428571428571,15.8571428571428571,28.2,0.0,10.4,1015.3
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-04,15,15,0,0,0.00,0.00,30.2500000000000000,43.5714285714285714,29.0,0.3,12.2,1015.4
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-05,7,7,0,0,0.00,0.00,-3.6666666666666667,14.7500000000000000,29.7,0.0,20.5,1013.6
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-06,12,12,0,0,0.00,0.00,33.3333333333333333,17.6666666666666667,30.2,0.0,25.2,1010.8
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-07,14,14,0,0,0.00,0.00,63.2857142857142857,56.5714285714285714,30.1,7.6,20.5,1011.2
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-08,14,14,0,0,0.00,0.00,-6.0000000000000000,5.2857142857142857,29.4,0.0,10.8,1013.1
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-09,12,12,0,0,0.00,0.00,1.1666666666666667,11.8333333333333333,29.4,0.0,11.5,1014.7
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-10,14,14,0,0,0.00,0.00,13.0000000000000000,33.2857142857142857,29.5,13.0,8.3,1016.9
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-11,15,15,0,0,0.00,0.00,-0.50000000000000000000,5.7142857142857143,28.4,0.0,13.7,1016.3
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-12,9,9,0,0,0.00,0.00,-5.2500000000000000,-3.4000000000000000,30.2,0.0,17.6,1014.0
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-13,14,14,0,0,0.00,0.00,-1.00000000000000000000,0.71428571428571428571,30.2,0.0,20.9,1011.9
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-14,14,14,0,0,0.00,0.00,25.1428571428571429,45.2857142857142857,30.0,0.0,23.0,1010.3
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-15,15,15,0,0,0.00,0.00,-7.7500000000000000,-2.1428571428571429,29.8,0.0,23.4,1010.4
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-16,14,14,0,0,0.00,0.00,-6.7142857142857143,-5.0000000000000000,30.3,0.0,24.8,1012.7
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-17,14,14,0,0,0.00,0.00,-6.1428571428571429,2.2857142857142857,30.4,0.0,22.0,1014.9
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-18,14,14,0,0,0.00,0.00,0.71428571428571428571,2.7142857142857143,29.9,0.0,17.6,1015.1
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-19,12,12,0,0,0.00,0.00,-6.6666666666666667,3.8333333333333333,30.1,0.0,14.8,1014.5
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-20,12,12,0,0,0.00,0.00,-8.6666666666666667,-5.0000000000000000,29.6,0.0,14.4,1014.5
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-21,14,14,0,0,0.00,0.00,14.0000000000000000,24.0000000000000000,29.5,0.0,13.7,1016.2
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-22,14,14,0,0,0.00,0.00,4.2857142857142857,10.1428571428571429,29.3,0.5,12.2,1016.0
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-23,14,14,0,0,0.00,0.00,-6.1428571428571429,-0.28571428571428571429,28.9,0.0,11.5,1013.1
CRP,Corpus Christi International Airport,Corpus Christi,2017-08-24,14,14,0,0,0.00,0.00,0.71428571428571428571,10.7142857142857143,29.2,8.4,18.0,1009.9
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-03,6,6,0,0,0.00,0.00,-5.6666666666666667,-4.3333333333333333,26.9,0.0,10.4,1016.9
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-04,8,8,0,0,0.00,0.00,-5.4000000000000000,-8.6666666666666667,27.5,5.3,12.6,1015.4
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-05,13,13,0,1,0.00,7.69,-3.8571428571428571,-6.1666666666666667,27.3,0.0,6.1,1014.5
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-06,8,8,0,0,0.00,0.00,0.00000000000000000000,4.0000000000000000,26.3,0.0,16.9,1015.7
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-07,16,16,1,0,6.25,0.00,-3.8750000000000000,2.6250000000000000,24.7,0.0,17.3,1017.8
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-08,16,16,0,0,0.00,0.00,5.3750000000000000,11.5000000000000000,24.8,0.0,20.5,1017.1
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-09,12,12,0,0,0.00,0.00,-7.3333333333333333,-10.6666666666666667,25.9,0.0,17.6,1017.3
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-10,14,14,0,0,0.00,0.00,0.28571428571428571429,-4.8571428571428571,24.7,0.0,12.6,1017.0
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-11,14,14,0,0,0.00,0.00,-3.1428571428571429,-0.42857142857142857143,24.1,0.0,14.4,1015.6
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-12,16,16,0,0,0.00,0.00,-4.6250000000000000,-2.8750000000000000,24.4,0.0,10.1,1012.0
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-13,16,16,0,0,0.00,0.00,-6.0000000000000000,-9.6250000000000000,25.1,0.0,15.5,1009.3
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-14,16,16,0,0,0.00,0.00,-3.8750000000000000,-2.0000000000000000,27.7,0.0,20.9,1009.5
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-15,16,16,0,0,0.00,0.00,-6.1250000000000000,-6.5000000000000000,26.9,0.0,18.4,1011.1
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-16,12,12,0,0,0.00,0.00,-3.5000000000000000,1.1666666666666667,27.4,0.0,14.8,1013.3
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-17,14,14,0,0,0.00,0.00,-7.4285714285714286,-5.0000000000000000,27.8,0.0,12.6,1014.5
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-18,14,14,0,0,0.00,0.00,0.57142857142857142857,32.4285714285714286,28.7,4.1,18.0,1013.7
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-19,16,16,0,0,0.00,0.00,-8.6250000000000000,-5.8750000000000000,29.2,0.0,21.6,1012.0
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-20,16,16,0,0,0.00,0.00,-3.8750000000000000,5.0000000000000000,29.4,0.0,21.6,1011.4
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-21,16,16,0,0,0.00,0.00,28.7500000000000000,36.0000000000000000,29.2,0.0,21.6,1012.1
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-22,16,16,0,0,0.00,0.00,-3.5000000000000000,-3.8750000000000000,28.2,3.8,21.6,1011.9
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-23,12,12,0,0,0.00,0.00,-7.3333333333333333,-6.5000000000000000,28.0,0.0,18.4,1010.7
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-24,14,14,0,0,0.00,0.00,-3.8571428571428571,1.4285714285714286,28.4,0.0,18.4,1009.6
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-25,14,14,0,0,0.00,0.00,-1.5714285714285714,-3.7142857142857143,28.1,12.2,19.8,1008.8
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-26,16,16,0,0,0.00,0.00,1.7500000000000000,-8.8750000000000000,28.6,11.4,19.8,1009.3
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-27,16,16,0,0,0.00,0.00,-6.7500000000000000,-2.7500000000000000,27.9,0.0,19.1,1011.1
CRP,Corpus Christi International Airport,Corpus Christi,2017-09-28,16,16,0,0,0.00,0.00,6.7500000000000000,7.2500000000000000,27.5,0.0,15.1,1013.1
HOU,William P Hobby Airport,Houston,2017-07-28,321,321,0,0,0.00,0.00,28.1111111111111111,19.5974842767295597,31.0,0.0,10.8,
HOU,William P Hobby Airport,Houston,2017-07-29,264,264,0,0,0.00,0.00,10.8345864661654135,5.9236641221374046,31.7,0.0,11.5,
HOU,William P Hobby Airport,Houston,2017-07-30,315,315,0,0,0.00,0.00,5.7261146496815287,1.2974683544303797,31.6,0.0,11.9,
HOU,William P Hobby Airport,Houston,2017-07-31,324,324,0,0,0.00,0.00,5.8509316770186335,-1.7300613496932515,30.2,0.0,12.6,
HOU,William P Hobby Airport,Houston,2017-08-01,324,324,0,0,0.00,0.00,5.5398773006134969,0.83229813664596273292,30.3,0.0,12.2,
