"airport_code","station_id","date","avg_temp_c","min_temp_c","max_temp_c","precipitation_mm","max_snow_mm","avg_wind_direction","avg_wind_speed_kmh","wind_peakgust_kmh","avg_pressure_hpa","sun_minutes","day","week","month","year","day_name","week_name","month_name","season"
CRP,72251,2017-09-15,26.9,20.6,33.9,0.0,0,,18.4,,1011.1,,15.0,37.0,9.0,2017.0,friday,"3eek",september,autumn
CRP,72251,2017-09-16,27.4,21.1,33.9,0.0,0,,14.8,,1013.3,,16.0,37.0,9.0,2017.0,saturday,"3eek",september,autumn
CRP,72251,2017-09-17,27.8,22.8,33.9,0.0,0,,12.6,,1014.5,,17.0,37.0,9.0,2017.0,sunday,"3eek",september,autumn
CRP,72251,2017-09-18,28.7,25.0,33.9,4.1,0,,18.0,,1013.7,,18.0,38.0,9.0,2017.0,monday,"3eek",september,autumn
CRP,72251,2017-09-19,29.2,24.4,35.0,0.0,0,,21.6,,1012.0,,19.0,38.0,9.0,2017.0,tuesday,"3eek",september,autumn
CRP,72251,2017-09-20,29.4,25.0,35.0,0.0,0,,21.6,,1011.4,,20.0,38.0,9.0,2017.0,wednesday,"3eek",september,autumn
CRP,72251,2017-09-21,29.2,25.6,34.4,0.0,0,,21.6,,1012.1,,21.0,38.0,9.0,2017.0,thursday,"3eek",september,autumn
CRP,72251,2017-09-22,28.2,22.8,33.9,3.8,0,,21.6,,1011.9,,22.0,38.0,9.0,2017.0,friday,"4eek",september,autumn
CRP,72251,2017-09-23,28.0,23.3,33.9,0.0,0,,18.4,,1010.7,,23.0,38.0,9.0,2017.0,saturday,"4eek",september,autumn
CRP,72251,2017-09-24,28.4,23.9,33.9,0.0,0,,18.4,,1009.6,,24.0,38.0,9.0,2017.0,sunday,"4eek",september,autumn
CRP,72251,2017-09-25,28.1,24.4,32.8,12.2,0,,19.8,,1008.8,,25.0,39.0,9.0,2017.0,monday,"4eek",september,autumn
CRP,72251,2017-09-26,28.6,24.4,32.8,11.4,0,,19.8,,1009.3,,26.0,39.0,9.0,2017.0,tuesday,"4eek",september,autumn
CRP,72251,2017-09-27,27.9,25.6,32.2,0.0,0,,19.1,,1011.1,,27.0,39.0,9.0,2017.0,wednesday,"4eek",september,autumn
CRP,72251,2017-09-28,27.5,23.9,30.6,0.0,0,,15.1,,1013.1,,28.0,39.0,9.0,2017.0,thursday,"4eek",september,autumn
HOU,72244,2017-09-08,24.3,18.3,30.6,0.0,,,10.1,,,,8.0,36.0,9.0,2017.0,friday,"2eek",september,autumn
HOU,72244,2017-09-09,24.7,19.4,30.6,0.0,,,15.8,,,,9.0,36.0,9.0,2017.0,saturday,"2eek",september,autumn
HOU,72244,2017-09-10,25.6,20.6,31.1,0.0,,,18.7,,,,10.0,36.0,9.0,2017.0,sunday,"2eek",september,autumn
HOU,72244,2017-09-11,25.7,19.4,30.6,0.0,,,15.1,,,,11.0,37.0,9.0,2017.0,monday,"2eek",september,autumn
HOU,72244,2017-09-12,24.6,17.8,32.2,0.0,,,8.6,,,,12.0,37.0,9.0,2017.0,tuesday,"2eek",september,autumn
HOU,72244,2017-09-13,26.1,21.7,31.7,0.0,,,10.8,,,,13.0,37.0,9.0,2017.0,wednesday,"2eek",september,autumn
HOU,72244,2017-09-14,27.3,21.7,33.9,0.0,,,8.6,,,,14.0,37.0,9.0,2017.0,thursday,"2eek",september,autumn
HOU,72244,2017-09-15,27.6,23.3,33.9,0.0,,,9.4,,,,15.0,37.0,9.0,2017.0,friday,"3eek",september,autumn
HOU,72244,2017-09-16,27.9,22.2,35.0,0.0,,,5.8,,,,16.0,37.0,9.0,2017.0,saturday,"3eek",september,autumn
HOU,72244,2017-09-17,28.2,23.3,35.0,0.0,,,5.4,,,,17.0,37.0,9.0,2017.0,sunday,"3eek",september,autumn
HOU,72244,2017-09-18,28.7,23.9,33.9,33.5,,,7.9,,,,18.0,38.0,9.0,2017.0,monday,"3eek",september,autumn
HOU,72244,2017-09-19,28.2,25.6,34.4,0.0,,,10.8,,,,19.0,38.0,9.0,2017.0,tuesday,"3eek",september,autumn
HOU,72244,2017-09-20,28.9,26.1,33.9,31.2,,,10.1,,,,20.0,38.0,9.0,2017.0,wednesday,"3eek",september,autumn
HOU,72244,2017-09-21,27.2,23.9,31.7,15.5,,,7.9,,,,21.0,38.0,9.0,2017.0,thursday,"3eek",september,autumn
HOU,72244,2017-09-22,27.8,23.9,32.8,0.0,,,6.5,,,,22.0,38.0,9.0,2017.0,friday,"4eek",september,autumn
HOU,72244,2017-09-23,27.9,24.4,32.8,0.0,,,7.9,,,,23.0,38.0,9.0,2017.0,saturday,"4eek",september,autumn
HOU,72244,2017-09-24,28.1,23.9,32.8,0.0,,,9.4,,,,24.0,38.0,9.0,2017.0,sunday,"4eek",september,autumn
HOU,72244,2017-09-25,28.4,24.4,32.8,0.0,,,9.7,,,,25.0,39.0,9.0,2017.0,monday,"4eek",september,autumn
HOU,72244,2017-09-26,28.3,24.4,33.3,0.0,,,6.8,,,,26.0,39.0,9.0,2017.0,tuesday,"4eek",september,autumn
HOU,72244,2017-09-27,28.6,25.6,33.9,1.0,,,6.1,,,,27.0,39.0,9.0,2017.0,wednesday,"4eek",september,autumn
HOU,72244,2017-09-28,28.4,24.4,33.9,14.0,,,6.8,,,,28.0,39.0,9.0,2017.0,thursday,"4eek",september,autumn
IAH,72243,2017-09-08,22.4,16.1,29.4,0.0,0,,10.4,,1019.0,,8.0,36.0,9.0,2017.0,friday,"2eek",september,autumn
IAH,72243,2017-09-09,23.2,17.8,29.4,0.0,0,,11.2,,1018.8,,9.0,36.0,9.0,2017.0,saturday,"2eek",september,autumn
IAH,72243,2017-09-10,23.9,18.3,30.6,0.0,0,,12.6,,1018.1,,10.0,36.0,9.0,2017.0,sunday,"2eek",september,autumn
IAH,72243,2017-09-11,23.8,17.8,29.4,0.0,0,,11.2,,1015.8,,11.0,37.0,9.0,2017.0,monday,"2eek",september,autumn
IAH,72243,2017-09-12,22.7,15.6,31.1,0.0,0,,7.9,,1011.3,,12.0,37.0,9.0,2017.0,tuesday,"2eek",september,autumn
IAH,72243,2017-09-13,24.7,20.0,30.6,0.0,0,,7.9,,1009.8,,13.0,37.0,9.0,2017.0,wednesday,"2eek",september,autumn
IAH,72243,2017-09-14,26.2,19.4,32.8,0.0,0,,11.2,,1011.2,,14.0,37.0,9.0,2017.0,thursday,"2eek",september,autumn
IAH,72243,2017-09-15,26.0,20.6,32.2,0.0,0,,10.1,,1012.8,,15.0,37.0,9.0,2017.0,friday,"3eek",september,autumn
IAH,72243,2017-09-16,26.4,20.0,33.9,0.0,0,,6.8,,1014.6,,16.0,37.0,9.0,2017.0,saturday,"3eek",september,autumn
IAH,72243,2017-09-17,26.8,21.1,33.9,0.0,0,,7.6,,1015.8,,17.0,37.0,9.0,2017.0,sunday,"3eek",september,autumn
IAH,72243,2017-09-18,27.2,22.8,32.8,10.7,0,,6.5,,1015.0,,18.0,38.0,9.0,2017.0,monday,"3eek",september,autumn
IAH,72243,2017-09-19,26.8,22.8,33.9,0.0,0,,10.1,,1013.2,,19.0,38.0,9.0,2017.0,tuesday,"3eek",september,autumn
IAH,72243,2017-09-20,28.7,25.0,33.9,12.2,0,,10.8,,1012.8,,20.0,38.0,9.0,2017.0,wednesday,"3eek",september,autumn
IAH,72243,2017-09-21,26.8,23.9,31.1,0.5,0,,9.4,,1014.2,,21.0,38.0,9.0,2017.0,thursday,"3eek",september,autumn
LCH,72242,2017-09-01,28.3,25.6,32.8,0.0,0,,8.6,,1015.4,,1.0,35.0,9.0,2017.0,friday,"1eek",september,autumn
LCH,72242,2017-09-02,28.4,25.6,31.7,0.0,0,,6.5,,1017.0,,2.0,35.0,9.0,2017.0,saturday,"1eek",september,autumn
LCH,72242,2017-09-03,28.9,26.7,31.7,0.0,0,,9.7,,1018.0,,3.0,35.0,9.0,2017.0,sunday,"1eek",september,autumn
LCH,72242,2017-09-04,28.9,26.7,31.7,0.0,0,,9.4,,1016.5,,4.0,36.0,9.0,2017.0,monday,"1eek",september,autumn
LCH,72242,2017-09-05,29.2,27.2,32.2,0.0,0,,7.6,,1015.0,,5.0,36.0,9.0,2017.0,tuesday,"1eek",september,autumn
LCH,72242,2017-09-06,27.4,23.9,29.4,0.0,0,,23.4,,1016.2,,6.0,36.0,9.0,2017.0,wednesday,"1eek",september,autumn
LCH,72242,2017-09-07,25.4,21.7,28.9,0.0,0,,17.6,,1018.6,,7.0,36.0,9.0,2017.0,thursday,"1eek",september,autumn
LCH,72242,2017-09-08,25.4,22.2,28.9,0.0,0,,17.6,,1018.5,,8.0,36.0,9.0,2017.0,friday,"2eek",september,autumn
LCH,72242,2017-09-09,25.3,21.1,29.4,0.0,0,,18.4,,1018.2,,9.0,36.0,9.0,2017.0,saturday,"2eek",september,autumn
LCH,72242,2017-09-10,25.8,21.7,30.6,0.0,0,,22.3,,1017.3,,10.0,36.0,9.0,2017.0,sunday,"2eek",september,autumn
LCH,72242,2017-09-11,25.7,22.2,29.4,0.0,0,,19.8,,1015.3,,11.0,37.0,9.0,2017.0,monday,"2eek",september,autumn
LCH,72242,2017-09-12,25.4,21.1,30.6,0.0,0,,11.2,,1011.6,,12.0,37.0,9.0,2017.0,tuesday,"2eek",september,autumn
LCH,72242,2017-09-13,27.2,25.0,31.7,0.0,0,,17.6,,1010.2,,13.0,37.0,9.0,2017.0,wednesday,"2eek",september,autumn
LCH,72242,2017-09-14,28.1,26.1,31.1,0.0,0,,16.9,,1011.7,,14.0,37.0,9.0,2017.0,thursday,"2eek",september,autumn
LCH,72242,2017-09-15,28.2,25.6,31.1,0.0,0,,16.2,,1013.1,,15.0,37.0,9.0,2017.0,friday,"3eek",september,autumn
LCH,72242,2017-09-16,28.2,25.0,31.7,0.0,,,11.9,,1014.9,,16.0,37.0,9.0,2017.0,saturday,"3eek",september,autumn
LCH,72242,2017-09-17,28.8,26.1,32.2,0.0,0,,13.7,,1015.9,,17.0,37.0,9.0,2017.0,sunday,"3eek",september,autumn
LCH,72242,2017-09-18,29.6,27.8,32.2,0.0,0,,17.6,,,,18.0,38.0,9.0,2017.0,monday,"3eek",september,autumn
LCH,72242,2017-09-19,29.6,27.8,32.2,0.0,0,,19.4,,1013.8,,19.0,38.0,9.0,2017.0,tuesday,"3eek",september,autumn
LCH,72242,2017-09-20,30.1,28.3,33.3,0.0,0,,22.7,,1013.5,,20.0,38.0,9.0,2017.0,wednesday,"3eek",september,autumn
LCH,72242,2017-09-21,29.4,27.8,32.2,0.3,0,,20.2,,1014.5,,21.0,38.0,9.0,2017.0,thursday,"3eek",september,autumn
LCH,72242,2017-09-22,29.0,26.7,32.2,0.0,0,,16.2,,1014.1,,22.0,38.0,9.0,2017.0,friday,"4eek",september,autumn
LCH,72242,2017-09-23,29.2,27.2,32.2,0.0,,,15.8,,1012.8,,23.0,38.0,9.0,2017.0,saturday,"4eek",september,autumn
LCH,72242,2017-09-24,29.4,27.2,32.2,0.0,0,,17.6,,1011.9,,24.0,38.0,9.0,2017.0,sunday,"4eek",september,autumn
LCH,72242,2017-09-25,29.3,27.8,32.2,0.0,0,,18.0,,1011.1,,25.0,39.0,9.0,2017.0,monday,"4eek",september,autumn
LCH,72242,2017-09-26,29.1,27.2,32.2,0.0,0,,14.8,,1011.8,,26.0,39.0,9.0,2017.0,tuesday,"4eek",september,autumn
LCH,72242,2017-09-27,28.8,26.7,31.7,0.0,0,,10.4,,1013.0,,27.0,39.0,9.0,2017.0,wednesday,"4eek",september,autumn
LCH,72242,2017-09-28,29.3,26.7,33.3,0.0,0,,9.4,,1013.9,,28.0,39.0,9.0,2017.0,thursday,"4eek",september,autumn
IAH,72243,2017-09-22,26.4,21.7,32.8,0.0,0,,7.2,,1013.8,,22.0,38.0,9.0,2017.0,friday,"4eek",september,autumn
IAH,72243,2017-09-23,26.9,22.2,32.8,0.0,0,,10.8,,1012.6,,23.0,38.0,9.0,2017.0,saturday,"4eek",september,autumn
IAH,72243,2017-09-24,26.8,22.2,33.3,0.3,0,,10.4,,1011.8,,24.0,38.0,9.0,2017.0,sunday,"4eek",september,autumn
IAH,72243,2017-09-25,26.2,22.8,32.8,0.0,0,,11.9,,1011.0,,25.0,39.0,9.0,2017.0,monday,"4eek",september,autumn
IAH,72243,2017-09-26,26.6,22.2,32.2,0.0,0,,7.9,,1011.6,,26.0,39.0,9.0,2017.0,tuesday,"4eek",september,autumn
IAH,72243,2017-09-27,27.5,23.9,33.3,0.0,0,,6.8,,1012.9,,27.0,39.0,9.0,2017.0,wednesday,"4eek",september,autumn
IAH,72243,2017-09-28,27.4,23.9,33.9,6.1,0,,7.2,,1014.0,,28.0,39.0,9.0,2017.0,thursday,"4eek",september,autumn
IAH,72243,2017-09-01,26.7,21.1,33.3,0.0,0,,7.2,,1015.1,,1.0,35.0,9.0,2017.0,friday,"1eek",september,autumn
IAH,72243,2017-09-02,27.4,22.2,33.9,0.0,0,,4.7,,1016.7,,2.0,35.0,9.0,2017.0,saturday,"1eek",september,autumn
IAH,72243,2017-09-03,27.1,22.8,33.3,0.0,0,,5.8,,1017.8,,3.0,35.0,9.0,2017.0,sunday,"1eek",september,autumn
IAH,72243,2017-09-04,27.1,22.2,32.8,0.0,0,,7.2,,1016.3,,4.0,36.0,9.0,2017.0,monday,"1eek",september,autumn
IAH,72243,2017-09-05,27.4,22.8,33.9,0.0,0,,4.7,,1014.9,,5.0,36.0,9.0,2017.0,tuesday,"1eek",september,autumn
IAH,72243,2017-09-06,25.7,18.9,29.4,1.5,0,,14.8,,1017.0,,6.0,36.0,9.0,2017.0,wednesday,"1eek",september,autumn
IAH,72243,2017-09-07,22.3,16.1,28.3,0.0,0,,10.8,,1019.0,,7.0,36.0,9.0,2017.0,thursday,"1eek",september,autumn
HOU,72244,2017-09-01,28.5,23.3,33.9,0.0,,,5.8,,,,1.0,35.0,9.0,2017.0,friday,"1eek",september,autumn
HOU,72244,2017-09-02,28.4,23.3,33.9,0.0,,,4.7,,,,2.0,35.0,9.0,2017.0,saturday,"1eek",september,autumn
HOU,72244,2017-09-03,28.6,24.4,33.9,0.0,,,4.7,,,,3.0,35.0,9.0,2017.0,sunday,"1eek",september,autumn
