"flight_date","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","airline","tail_number","flight_number","origin","dest","air_time","actual_elapsed_time","distance","cancelled","diverted"
"2018-10-01",527,530,-3,726,735,-9,DL,N906DL,856,PNS,ATL,42,59,271,0,0
"2018-10-01",540,545,-5,639,650,-11,DL,N910DL,708,TLH,ATL,41,59,223,0,0
"2018-10-01",625,600,25,821,805,16,DL,N813DN,1237,ECP,ATL,41,56,240,0,0
"2018-10-01",556,600,-4,757,807,-10,DL,N938DL,2714,VPS,ATL,42,61,250,0,0
"2018-10-01",547,600,-13,829,847,-18,MQ,N900AE,3508,PNS,MIA,81,102,530,0,0
"2018-10-01",551,603,-12,841,846,-5,OH,N566NN,5353,PNS,CLT,77,110,488,0,0
"2018-10-01",607,615,-8,933,929,4,YX,N435YX,4626,PNS,DCA,111,146,816,0,0
"2018-10-01",615,622,-7,731,746,-15,MQ,N662EH,3570,TLH,MIA,61,76,402,0,0
"2018-10-01",621,630,-9,839,839,0,DL,N970DL,1234,PNS,ATL,47,78,271,0,0
"2018-10-01",623,634,-11,914,915,-1,OH,N555NN,5623,VPS,CLT,66,111,460,0,0
"2018-10-01",633,636,-3,754,810,-16,OH,N518AE,5584,TLH,CLT,61,81,386,0,0
"2018-10-01",639,644,-5,842,850,-8,OH,N534EA,5082,TLH,DCA,106,123,716,0,0
"2018-10-01",650,700,-10,856,920,-24,EV,N605QX,2889,ECP,DFW,98,126,685,0,0
"2018-10-01",651,700,-9,846,855,-9,EV,N13988,3979,ECP,IAH,91,115,572,0,0
"2018-10-01",721,700,21,1011,946,25,G4,"224NV",1900,VPS,CVG,87,110,600,0,0
"2018-10-01",655,700,-5,900,919,-19,AA,N984TW,1538,VPS,DFW,100,125,641,0,0
"2018-10-01",652,700,-8,800,804,-4,DL,N340NW,496,TLH,ATL,41,68,223,0,0
"2018-10-01",701,705,-4,853,903,-10,YV,N244LR,5725,DFW,VPS,89,112,641,0,0
"2018-10-01",712,715,-3,847,853,-6,YV,N85351,6262,PNS,IAH,74,95,489,0,0
"2018-10-01",713,715,-2,928,926,2,DL,N948DL,955,VPS,ATL,42,75,250,0,0
"2018-10-01",713,715,-2,920,925,-5,DL,N3759,2430,ECP,ATL,41,67,240,0,0
"2018-10-01",713,722,-9,921,930,-9,AA,N9620D,2453,PNS,DFW,100,128,604,0,0
"2018-10-01",722,725,-3,849,904,-15,EV,N16541,4182,IAH,PNS,71,87,489,0,0
"2018-10-01",728,735,-7,955,947,8,DL,N949DL,1078,PNS,ATL,46,87,271,0,0
"2018-10-01",745,740,5,822,822,0,OH,N545PB,5237,CLT,PNS,72,97,488,0,0
"2018-10-01",739,740,-1,904,900,4,WN,N756SA,1764,BNA,ECP,66,85,401,0,0
"2018-10-01",740,745,-5,852,905,-13,WN,N272WN,1156,BNA,PNS,59,72,391,0,0
"2018-10-01",738,745,-7,851,900,-9,WN,N798SW,4197,ECP,BNA,62,73,401,0,0
"2018-10-01",744,750,-6,1028,1035,-7,EV,N717EV,2899,ECP,CLT,68,104,437,0,0
"2018-10-01",744,751,-7,847,916,-29,MQ,N245NN,4116,TLH,DFW,108,123,767,0,0
"2018-10-01",752,755,-3,902,910,-8,WN,N441WN,6225,PNS,BNA,60,70,391,0,0
"2018-10-01",814,820,-6,814,831,-17,DL,N989DL,2212,ATL,PNS,45,60,271,0,0
"2018-10-01",820,826,-6,1023,1037,-14,G4,"274NV",1914,VPS,MCI,104,123,764,0,0
"2018-10-01",831,836,-5,931,941,-10,"9E",N922XJ,3281,ATL,TLH,35,60,223,0,0
"2018-10-01",847,850,-3,1008,1023,-15,YX,N408YX,4609,DCA,VPS,110,141,789,0,0
"2018-10-01",851,855,-4,918,931,-13,OH,N564NN,5564,CLT,VPS,73,87,460,0,0
"2018-10-01",852,900,-8,1052,1052,0,YV,N89304,6222,VPS,IAH,93,120,528,0,0
"2018-10-01",900,900,0,1022,1025,-3,OH,N590NN,5272,CLT,TLH,62,82,386,0,0
"2018-10-01",902,900,2,902,903,-1,DL,N993DL,2029,ATL,ECP,46,60,240,0,0
"2018-10-01",854,907,-13,1157,1156,1,OH,N545PB,5237,PNS,CLT,73,123,488,0,0
"2018-10-01",909,915,-6,957,1003,-6,MQ,N698CB,3733,MIA,PNS,88,108,530,0,0
"2018-10-01",908,916,-8,1121,1127,-6,DL,N989DL,2212,PNS,ATL,47,73,271,0,0
"2018-10-01",941,930,11,1128,1125,3,WN,N756SA,1764,ECP,DAL,95,107,674,0,0
"2018-10-01",932,935,-3,1107,1117,-10,YV,N89349,6357,IAH,PNS,70,95,489,0,0
"2018-10-01",921,935,-14,1125,1123,2,EV,N16541,4298,PNS,IAH,93,124,489,0,0
"2018-10-01",921,935,-14,1131,1144,-13,YV,N244LR,5725,VPS,DFW,99,130,641,0,0
"2018-10-01",938,940,-2,1127,1115,12,WN,N272WN,1156,PNS,HOU,97,109,488,0,0
"2018-10-01",941,944,-3,941,950,-9,DL,N913DL,2716,ATL,VPS,40,60,250,0,0
"2018-10-01",947,947,0,1139,1149,-10,DL,N993DL,2029,ECP,ATL,41,52,240,0,0
"2018-10-01",952,1000,-8,1150,1145,5,EV,N14562,4451,IAH,ECP,93,118,572,0,0
"2018-10-01",951,1001,-10,1226,1247,-21,OH,N564NN,5564,VPS,CLT,71,95,460,0,0
"2018-10-01",958,1002,-4,1002,1017,-15,DL,N668DN,2179,ATL,PNS,46,64,271,0,0
"2018-10-01",1009,1019,-10,1124,1127,-3,"9E",N922XJ,3281,TLH,ATL,44,75,223,0,0
"2018-10-01",1023,1025,-2,1150,1150,0,MQ,N673AE,3663,MIA,TLH,75,87,402,0,0
"2018-10-01",1021,1028,-7,1207,1216,-9,MQ,N223NN,3324,DFW,PNS,83,106,604,0,0
"2018-10-01",1053,1031,22,1130,1118,12,G4,"224NV",1901,CVG,VPS,80,97,600,0,0
"2018-10-01",1027,1034,-7,1246,1249,-3,DL,N913DL,2716,VPS,ATL,43,79,250,0,0
"2018-10-01",1027,1035,-8,1306,1320,-14,MQ,N698CB,3733,PNS,MIA,87,99,530,0,0
"2018-10-01",1044,1050,-6,1133,1150,-17,DL,N944DL,489,ATL,TLH,36,49,223,0,0
"2018-10-01",1043,1054,-11,1400,1408,-8,YX,N408YX,4609,VPS,DCA,114,137,789,0,0
"2018-10-01",1145,1055,50,1340,1228,72,OH,N590NN,5272,TLH,CLT,64,115,386,0,0
"2018-10-01",1044,1055,-11,1236,1255,-19,YV,N906FJ,5740,DFW,VPS,86,112,641,0,0
"2018-10-01",1109,1112,-3,1102,1116,-14,DL,N943DL,1733,ATL,ECP,39,53,240,0,0
"2018-10-01",1108,1115,-7,1311,1332,-21,DL,N668DN,2179,PNS,ATL,42,63,271,0,0
"2018-10-01",1107,1122,-15,1304,1326,-22,G4,"274NV",1915,MCI,VPS,101,117,764,0,0
"2018-10-01",1136,1130,6,1215,1214,1,OH,N587NN,5298,CLT,PNS,73,99,488,0,0
"2018-10-01",1124,1131,-7,1200,1210,-10,EV,N717EV,2916,CLT,ECP,64,96,437,0,0
"2018-10-01",1128,1138,-10,1241,1300,-19,MQ,N225NN,3771,DCA,PNS,112,133,816,0,0
"2018-10-01",1137,1141,-4,1353,1400,-7,EV,N16559,4085,ORD,PNS,116,136,794,0,0
"2018-10-01",1147,1153,-6,1348,1340,8,YV,N89349,6357,PNS,IAH,108,121,489,0,0
"2018-10-01",1207,1155,12,1349,1344,5,EV,N16571,3995,IAH,VPS,75,102,528,0,0
"2018-10-01",1206,1155,11,1340,1334,6,EV,N14573,4393,IAH,PNS,72,94,489,0,0
"2018-10-01",1155,1200,-5,1358,1412,-14,DL,N943DL,1733,ECP,ATL,39,63,240,0,0
