MSA;City;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share
44600;Steubenville-Weirton, OH-WV;Baby Boomer; 	9.190 ; 	8.711 ; 	(479);-5 %;18,2 %;19,7 %;1,5 %
27780;Johnstown, PA;Baby Boomer; 	10.851 ; 	11.750 ; 	899 ;8 %;16,6 %;18,9 %;2,3 %
48540;Wheeling, WV-OH;Baby Boomer; 	11.525 ; 	12.978 ; 	1.453 ;13 %;16,3 %;18,8 %;2,5 %
39460;Punta Gorda, FL;Baby Boomer; 	8.195 ; 	8.646 ; 	451 ;6 %;17,0 %;18,3 %;1,3 %
32780;Medford, OR;Baby Boomer; 	15.865 ; 	16.216 ; 	351 ;2 %;16,2 %;18,2 %;2,0 %
18700;Corvallis, OR;Baby Boomer; 	7.012 ; 	7.829 ; 	817 ;12 %;16,1 %;18,1 %;2,1 %
39140;Prescott, AZ;Baby Boomer; 	12.226 ; 	11.561 ; 	(665);-5 %;16,1 %;18,1 %;2,1 %
16180;Carson City, NV;Baby Boomer; 	5.798 ; 	5.222 ; 	(576);-10 %;16,8 %;18,0 %;1,2 %
49660;Youngstown-Warren-Boardman, OH-PA;Baby Boomer; 	41.069 ; 	43.534 ; 	2.465 ;6 %;15,9 %;18,0 %;2,1 %
21660;Eugene-Springfield, OR;Baby Boomer; 	27.951 ; 	28.492 ; 	541 ;2 %;16,1 %;17,9 %;1,8 %
12620;Bangor, ME;Baby Boomer; 	12.853 ; 	13.858 ; 	1.005 ;8 %;16,0 %;17,8 %;1,9 %
42140;Santa Fe, NM;Baby Boomer; 	12.424 ; 	12.692 ; 	268 ;2 %;16,0 %;17,7 %;1,7 %
38300;Pittsburgh, PA;Baby Boomer; 	188.925 ; 	216.237 ; 	27.312 ;14 %;15,5 %;17,7 %;2,2 %
48700;Williamsport, PA;Baby Boomer; 	9.373 ; 	10.599 ; 	1.226 ;13 %;16,3 %;17,7 %;1,5 %
22540;Fond du Lac, WI;Baby Boomer; 	8.252 ; 	9.055 ; 	803 ;10 %;15,8 %;17,7 %;1,9 %
35840;North Port-Bradenton-Sarasota, FL;Baby Boomer; 	49.780 ; 	47.975 ; 	(1.805);-4 %;16,0 %;17,6 %;1,7 %
38860;Portland-South Portland-Biddeford, ME;Baby Boomer; 	46.339 ; 	51.069 ; 	4.730 ;10 %;15,6 %;17,5 %;1,9 %
43100;Sheboygan, WI;Baby Boomer; 	10.067 ; 	10.820 ; 	753 ;7 %;14,9 %;17,5 %;2,6 %
11020;Altoona, PA;Baby Boomer; 	10.397 ; 	11.079 ; 	682 ;7 %;15,7 %;17,5 %;1,8 %
42680;Sebastian-Vero Beach, FL;Baby Boomer; 	9.123 ; 	9.319 ; 	196 ;2 %;16,3 %;17,4 %;1,2 %
19260;Danville, VA;Baby Boomer; 	7.002 ; 	7.553 ; 	551 ;8 %;15,9 %;17,4 %;1,6 %
37340;Palm Bay-Melbourne-Titusville, FL;Baby Boomer; 	34.625 ; 	36.789 ; 	2.164 ;6 %;15,3 %;17,4 %;2,0 %
39740;Reading, PA;Baby Boomer; 	29.425 ; 	31.804 ; 	2.379 ;8 %;15,6 %;17,3 %;1,7 %
35980;Norwich-New London, CT;Baby Boomer; 	23.477 ; 	24.636 ; 	1.159 ;5 %;15,8 %;17,3 %;1,5 %
31900;Mansfield, OH;Baby Boomer; 	9.895 ; 	9.385 ; 	(510);-5 %;16,1 %;17,3 %;1,2 %
43780;South Bend-Mishawaka, IN-MI;Baby Boomer; 	23.242 ; 	24.455 ; 	1.213 ;5 %;15,4 %;17,3 %;1,9 %
37380;Palm Coast, FL;Baby Boomer; 	3.554 ; 	3.826 ; 	272 ;8 %;16,3 %;17,3 %;1,0 %
36100;Ocala, FL;Baby Boomer; 	18.109 ; 	18.030 ; 	(79);-0 %;15,6 %;17,3 %;1,6 %
19660;Deltona-Daytona Beach-Ormond Beach, FL;Baby Boomer; 	29.298 ; 	29.538 ; 	240 ;1 %;15,7 %;17,3 %;1,6 %
25540;Hartford-West Hartford-East Hartford, CT;Baby Boomer; 	104.547 ; 	113.909 ; 	9.362 ;9 %;15,5 %;17,2 %;1,7 %
