First 2 of SOC;SOC;Occupation;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share;
29;29-1141;Registered Nurses;Baby Boomer; 	439.432 ;550.449;111.017;25 %;18%;20%;2%;
39;39-9021;Personal Care Aides;Baby Boomer; 	180.948 ;259.779;78.831;44 %;19%;20%;1%;
41;41-2031;Retail Salespersons;Baby Boomer; 	568.785 ;631.476;62.691;11 %;12%;14%;2%;
43;43-9061;Office Clerks, General;Baby Boomer; 	505.397 ;565.144;59.747;12 %;15%;17%;2%;
41;41-2011;Cashiers;Baby Boomer; 	269.772 ;327.563;57.791;21 %;8%;10%;2%;
31;31-1011;Home Health Aides;Baby Boomer; 	104.249 ;153.126;48.877;47 %;15%;16%;1%;
43;43-4051;Customer Service Representatives;Baby Boomer; 	257.044 ;302.722;45.678;18 %;11%;13%;2%;
37;37-2011;Janitors and Cleaners, Except Maids and Housekeeping Cleaners;Baby Boomer; 	419.800 ;463.531;43.731;10 %;17%;18%;1%;
35;35-3021;Combined Food Preparation and Serving Workers, Including Fast Food;Baby Boomer; 	151.249 ;189.608;38.359;25 %;5%;6%;1%;
43;43-3031;Bookkeeping, Accounting, and Auditing Clerks;Baby Boomer; 	348.278 ;381.476;33.198;10 %;18%;21%;3%;
31;31-1014;Nursing Assistants;Baby Boomer; 	185.944 ;217.969;32.025;17 %;13%;15%;2%;
43;43-6013;Medical Secretaries;Baby Boomer; 	81.148 ;112.631;31.483;39 %;18%;21%;3%;
43;43-4171;Receptionists and Information Clerks;Baby Boomer; 	137.940 ;167.526;29.586;21 %;14%;16%;2%;
37;37-2012;Maids and Housekeeping Cleaners;Baby Boomer; 	238.814 ;267.382;28.568;12 %;16%;17%;1%;
53;53-7062;Laborers and Freight, Stock, and Material Movers, Hand;Baby Boomer; 	232.847 ;260.922;28.075;12 %;10%;12%;2%;
43;43-1011;First-Line Supervisors of Office and Administrative Support Workers;Baby Boomer; 	232.946 ;257.407;24.461;11 %;16%;18%;2%;
41;41-3021;Insurance Sales Agents;Baby Boomer; 	113.339 ;137.124;23.785;21 %;19%;20%;1%;
29;29-2061;Licensed Practical and Licensed Vocational Nurses;Baby Boomer; 	122.360 ;145.095;22.735;19 %;17%;19%;2%;
41;41-4012;Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;Baby Boomer; 	269.367 ;291.864;22.497;8 %;17%;19%;2%;
43;43-6014;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;Baby Boomer; 	495.682 ;517.449;21.767;4 %;19%;21%;2%;
43;43-5081;Stock Clerks and Order Fillers;Baby Boomer; 	208.438 ;230.104;21.666;10 %;11%;13%;2%;
35;35-3031;Waiters and Waitresses;Baby Boomer; 	87.763 ;108.868;21.105;24 %;4%;4%;0%;
53;53-3032;Heavy and Tractor-Trailer Truck Drivers;Baby Boomer; 	328.692 ;349.422;20.730;6 %;17%;19%;2%;
49;49-9071;Maintenance and Repair Workers, General;Baby Boomer; 	255.554 ;275.212;19.658;8 %;18%;20%;2%;
