"flight_date","airport","unique_destinations","unique_origions","planned_flights","total_cancelled","total_diverted","total_occured","unique_airplanes","unique_airlines","min_temp_c","max_temp_c","precipitation_mm","avg_wind_direction","avg_wind_speed"
"2018-10-01",ECP,7,7,34,0,0,34,32,6,23.3,31.7,,,10.4
"2018-10-02",ECP,7,7,34,0,0,34,33,6,22.8,32.2,,,8.7
"2018-10-03",ECP,6,6,32,3,0,29,30,6,22.2,31.7,,,7.2
"2018-10-04",ECP,6,6,32,1,0,31,31,6,21.7,32.2,,,5.7
"2018-10-05",ECP,6,6,32,1,0,31,31,6,20.6,33.3,0.0,,4.8
"2018-10-06",ECP,8,8,38,0,0,38,37,8,20.0,32.8,,,5.6
"2018-10-07",ECP,7,7,36,0,0,36,34,7,21.1,32.2,0.0,,11.2
"2018-10-08",ECP,6,6,34,3,0,31,33,6,22.8,31.1,,,16.1
"2018-10-09",ECP,6,6,32,18,0,14,30,6,25.0,30.6,,,17.4
"2018-10-10",ECP,6,6,32,32,0,0,27,6,,,,,
"2018-10-11",ECP,6,6,32,31,1,0,30,6,,,0.0,,
"2018-10-12",ECP,6,6,34,22,0,12,32,6,,,,,
"2018-10-13",ECP,8,8,38,18,0,20,31,8,,,,,
"2018-10-14",ECP,7,7,36,10,0,26,34,7,,,0.0,,
"2018-10-15",ECP,6,6,34,9,1,24,31,6,,,,,
"2018-10-16",ECP,6,6,32,8,0,24,30,6,,,,,
"2018-10-17",ECP,6,6,32,7,0,25,31,6,,,,,
"2018-10-18",ECP,6,6,32,7,0,25,31,6,,,,,13.8
"2018-10-19",ECP,6,6,34,8,0,26,31,6,20.6,30.0,,,6.9
"2018-10-20",ECP,8,8,38,8,0,30,38,8,,,,,
"2018-10-21",ECP,7,7,36,8,0,28,36,7,,,,,16.8
"2018-10-22",ECP,6,6,34,5,0,29,33,6,12.2,25.0,,,10.9
"2018-10-23",ECP,6,6,32,5,0,27,30,6,,,,,6.6
"2018-10-24",ECP,6,6,32,4,0,28,31,6,16.1,27.2,,,9.9
"2018-10-25",ECP,6,6,32,3,0,29,31,6,16.7,21.1,,,13.9
"2018-10-26",ECP,6,6,34,2,0,32,33,6,14.4,23.9,2.1,,17.4
"2018-10-27",ECP,8,8,36,3,0,33,34,8,10.0,20.6,0.0,,13.0
"2018-10-28",ECP,7,7,30,6,0,24,26,6,8.3,25.6,,,5.5
"2018-10-29",ECP,6,6,28,1,0,27,28,6,15.0,28.9,,,5.7
"2018-10-30",ECP,6,6,26,0,0,26,25,6,14.4,28.3,,,4.2
"2018-10-31",ECP,6,6,26,0,0,26,23,8,,,,,
"2018-10-01",TLH,5,5,38,0,0,38,38,10,23.3,32.2,0.0,,12.2
"2018-10-02",TLH,5,5,38,0,0,38,36,10,22.8,32.2,0.0,,10.1
"2018-10-03",TLH,5,5,38,0,0,38,38,10,22.2,32.8,0.0,,6.5
"2018-10-04",TLH,5,5,37,0,0,37,35,10,19.4,32.8,0.0,,5.0
"2018-10-05",TLH,5,5,36,0,0,36,36,10,18.9,33.3,0.0,,4.0
"2018-10-06",TLH,5,5,26,0,0,26,26,8,18.9,32.2,0.0,,5.8
"2018-10-07",TLH,5,5,32,0,0,32,32,8,18.9,32.8,0.0,,11.2
"2018-10-08",TLH,5,5,36,0,0,36,36,10,23.3,30.6,1.3,,17.3
"2018-10-09",TLH,5,5,36,9,0,27,33,10,24.4,30.0,2.3,,19.1
"2018-10-10",TLH,5,5,36,36,0,0,26,10,24.4,26.7,81.3,,38.2
"2018-10-11",TLH,5,5,36,11,0,25,28,10,19.4,31.1,0.0,,16.9
"2018-10-12",TLH,5,5,36,3,0,33,35,10,15.0,28.9,0.0,,8.6
"2018-10-13",TLH,5,5,26,2,0,24,26,8,12.8,28.9,0.0,,4.0
"2018-10-14",TLH,5,5,32,0,0,32,32,10,15.0,31.7,0.0,,5.8
"2018-10-15",TLH,5,5,36,0,1,35,36,10,20.6,32.8,0.0,,7.9
"2018-10-16",TLH,5,5,36,0,0,36,36,10,20.6,32.8,0.0,,5.4
"2018-10-17",TLH,5,5,36,0,0,36,34,10,20.0,32.2,0.0,,3.2
"2018-10-18",TLH,5,5,36,0,0,36,34,10,20.0,31.7,0.0,,11.2
"2018-10-19",TLH,5,5,36,0,0,36,34,10,20.0,31.1,0.0,,7.6
"2018-10-20",TLH,5,5,26,0,0,26,26,8,18.9,32.2,0.0,,10.1
"2018-10-21",TLH,5,5,32,0,0,32,30,8,15.0,22.8,0.0,,15.1
"2018-10-22",TLH,5,5,36,0,0,36,36,10,12.2,24.4,0.0,,9.4
"2018-10-23",TLH,5,5,36,0,0,36,34,10,16.7,21.7,0.8,,5.4
"2018-10-24",TLH,5,5,36,0,0,36,34,10,15.0,26.7,0.0,,9.4
"2018-10-25",TLH,5,5,36,0,0,36,36,10,16.1,23.3,6.4,,14.4
"2018-10-26",TLH,5,5,36,0,0,36,35,10,15.0,28.3,7.1,,16.9
"2018-10-27",TLH,5,5,26,0,0,26,25,8,10.0,21.1,0.0,,12.6
"2018-10-28",TLH,5,5,30,0,0,30,30,8,6.7,25.6,0.0,,3.6
"2018-10-29",TLH,5,5,34,0,0,34,34,10,12.2,28.3,0.0,,4.3
"2018-10-30",TLH,5,5,32,0,0,32,30,10,10.0,27.2,0.0,,3.2
"2018-10-31",TLH,5,5,28,0,0,28,26,10,,,,,
"2018-10-01",VPS,8,8,44,2,0,42,42,14,23.9,30.6,0.0,,10.4
"2018-10-02",VPS,8,8,40,0,0,40,38,14,24.4,32.2,0.0,,9.4
"2018-10-03",VPS,10,10,44,0,0,44,40,14,24.4,30.6,0.0,,8.1
"2018-10-04",VPS,11,11,48,0,0,48,37,14,24.4,31.1,0.0,,6.8
"2018-10-05",VPS,9,9,44,2,0,42,39,14,23.9,31.1,0.0,,7.1
"2018-10-06",VPS,11,11,46,0,0,46,39,14,23.9,31.1,0.0,,7.9
"2018-10-07",VPS,11,11,46,0,0,46,38,14,23.9,31.1,0.0,,10.0
"2018-10-08",VPS,9,9,44,0,0,44,38,14,23.9,31.7,0.0,,18.4
"2018-10-09",VPS,7,7,38,7,1,30,34,14,25.0,30.6,,,19.6
"2018-10-10",VPS,10,10,44,44,0,0,24,14,24.4,26.7,,,27.3
"2018-10-11",VPS,11,11,48,11,0,37,41,14,21.1,30.0,0.0,,16.3
