"airport_code","station_id","date","avg_temp_c","min_temp_c","max_temp_c","precipitation_mm","max_snow_mm","avg_wind_direction","avg_wind_speed","avg_peakgust","avg_pressure_hpa","sun_minutes"
ECP,KECP0,2018-10-01,26.4,23.3,31.7,,,,10.4,,1021.9,
ECP,KECP0,2018-10-02,26.3,22.8,32.2,,,,8.7,,1020.8,
ECP,KECP0,2018-10-03,26.2,22.2,31.7,,,,7.2,,1019.0,
ECP,KECP0,2018-10-04,26.3,21.7,32.2,,,,5.7,,1018.8,
ECP,KECP0,2018-10-05,26.0,20.6,33.3,0.0,,,4.8,,1018.5,
ECP,KECP0,2018-10-06,25.8,20.0,32.8,,,,5.6,,1018.6,
ECP,KECP0,2018-10-07,25.8,21.1,32.2,0.0,,,11.2,,1018.5,
ECP,KECP0,2018-10-08,26.7,22.8,31.1,,,,16.1,,1016.5,
ECP,KECP0,2018-10-09,27.1,25.0,30.6,,,,17.4,,1011.9,
ECP,KECP0,2018-10-10,,,,,,,,,,
ECP,KECP0,2018-10-11,,,,0.0,,,,,,
ECP,KECP0,2018-10-12,,,,,,,,,,
ECP,KECP0,2018-10-13,,,,,,,,,,
ECP,KECP0,2018-10-14,,,,0.0,,,,,,
ECP,KECP0,2018-10-15,,,,,,,,,,
ECP,KECP0,2018-10-16,,,,,,,,,,
ECP,KECP0,2018-10-17,,,,,,,,,,
ECP,KECP0,2018-10-18,24.4,,,,,,13.8,,,
ECP,KECP0,2018-10-19,24.3,20.6,30.0,,,,6.9,,,
ECP,KECP0,2018-10-20,,,,,,,,,,
ECP,KECP0,2018-10-21,17.6,,,,,,16.8,,,
ECP,KECP0,2018-10-22,18.0,12.2,25.0,,,,10.9,,,
ECP,KECP0,2018-10-23,19.0,,,,,,6.6,,,
ECP,KECP0,2018-10-24,20.2,16.1,27.2,,,,9.9,,,
ECP,KECP0,2018-10-25,18.6,16.7,21.1,,,,13.9,,1015.2,
ECP,KECP0,2018-10-26,20.6,14.4,23.9,2.1,,,17.4,,1008.6,
ECP,KECP0,2018-10-27,15.1,10.0,20.6,0.0,,,13.0,,1015.9,
ECP,KECP0,2018-10-28,16.8,8.3,25.6,,,,5.5,,1021.3,
ECP,KECP0,2018-10-29,21.2,15.0,28.9,,,,5.7,,1020.4,
ECP,KECP0,2018-10-30,19.7,14.4,28.3,,,,4.2,,1021.3,
VPS,KDTS0,2018-10-01,27.1,23.9,30.6,0.0,,,10.4,,1020.9,
VPS,KDTS0,2018-10-02,27.5,24.4,32.2,0.0,,,9.4,,1019.8,
VPS,KDTS0,2018-10-03,27.3,24.4,30.6,0.0,,,8.1,,1017.9,
VPS,KDTS0,2018-10-04,27.2,24.4,31.1,0.0,,,6.8,,1017.8,
VPS,KDTS0,2018-10-05,27.5,23.9,31.1,0.0,,,7.1,,1017.4,
VPS,KDTS0,2018-10-06,27.6,23.9,31.1,0.0,,,7.9,,1017.5,
VPS,KDTS0,2018-10-07,27.0,23.9,31.1,0.0,,,10.0,,1017.3,
VPS,KDTS0,2018-10-08,27.6,23.9,31.7,0.0,,,18.4,,1015.2,
VPS,KDTS0,2018-10-09,27.1,25.0,30.6,,,,19.6,,1010.6,
VPS,KDTS0,2018-10-10,25.4,24.4,26.7,,,,27.3,,1000.2,
VPS,KDTS0,2018-10-11,25.7,21.1,30.0,0.0,,,16.3,,1010.3,
VPS,KDTS0,2018-10-12,21.0,15.6,26.7,0.0,,,14.6,,1013.4,
VPS,KDTS0,2018-10-13,22.3,17.8,27.8,0.0,,,6.2,,1014.1,
VPS,KDTS0,2018-10-14,25.5,20.6,28.9,0.0,,,10.6,,1015.9,
VPS,KDTS0,2018-10-15,27.9,26.1,30.6,0.0,,,12.6,,1017.8,
VPS,KDTS0,2018-10-16,,,,0.0,,,5.7,,1018.6,
VPS,KDTS0,2018-10-17,26.8,23.3,31.1,,,,10.0,,1020.3,
VPS,KDTS0,2018-10-18,24.1,18.9,30.0,0.0,,,15.1,,1023.0,
VPS,KDTS0,2018-10-19,24.7,21.7,27.8,0.0,,,8.6,,1021.6,
VPS,KDTS0,2018-10-20,25.3,21.7,28.9,,,,7.4,,1017.2,
VPS,KDTS0,2018-10-21,18.4,15.0,22.2,0.0,,,18.8,,1020.5,
VPS,KDTS0,2018-10-22,19.0,14.4,23.3,0.0,,,13.1,,1021.4,
VPS,KDTS0,2018-10-23,20.4,18.9,22.2,,,,8.8,,1020.1,
VPS,KDTS0,2018-10-24,20.7,16.7,25.6,0.0,,,10.4,,1018.6,
VPS,KDTS0,2018-10-25,19.3,17.2,23.9,,,,20.2,,1013.4,
VPS,KDTS0,2018-10-26,20.8,15.6,25.0,,,,16.2,,1007.9,
VPS,KDTS0,2018-10-27,16.2,13.3,21.1,0.0,,,9.9,,1015.2,
VPS,KDTS0,2018-10-28,19.3,12.2,25.0,0.0,,,6.2,,1020.2,
VPS,KDTS0,2018-10-29,23.0,20.0,26.1,0.0,,,6.3,,1019.3,
VPS,KDTS0,2018-10-30,22.0,17.2,26.1,0.0,,,7.7,,1020.0,
TLH,"72214",2018-10-01,26.3,23.3,32.2,0.0,,,12.2,,1021.3,
TLH,"72214",2018-10-02,26.8,22.8,32.2,0.0,,,10.1,,1020.2,
TLH,"72214",2018-10-03,26.9,22.2,32.8,0.0,,,6.5,,1018.3,
TLH,"72214",2018-10-04,26.1,19.4,32.8,0.0,,,5.0,,1018.1,
TLH,"72214",2018-10-05,25.5,18.9,33.3,0.0,,,4.0,,1017.7,
TLH,"72214",2018-10-06,25.3,18.9,32.2,0.0,,,5.8,,1018.1,
TLH,"72214",2018-10-07,25.4,18.9,32.8,0.0,,,11.2,,1018.2,
TLH,"72214",2018-10-08,26.5,23.3,30.6,1.3,,,17.3,,1016.6,
TLH,"72214",2018-10-09,26.4,24.4,30.0,2.3,,,19.1,,1012.5,
TLH,"72214",2018-10-10,25.9,24.4,26.7,81.3,,,38.2,,1000.9,
TLH,"72214",2018-10-11,27.0,19.4,31.1,0.0,,,16.9,,1008.3,
TLH,"72214",2018-10-12,22.4,15.0,28.9,0.0,,,8.6,,1012.0,
TLH,"72214",2018-10-13,20.4,12.8,28.9,0.0,,,4.0,,1013.8,
TLH,"72214",2018-10-14,22.2,15.0,31.7,0.0,,,5.8,,1016.7,
TLH,"72214",2018-10-15,25.6,20.6,32.8,0.0,,,7.9,,1018.7,
TLH,"72214",2018-10-16,26.1,20.6,32.8,0.0,,,5.4,,1018.8,
TLH,"72214",2018-10-17,25.6,20.0,32.2,0.0,,,3.2,,1020.1,
TLH,"72214",2018-10-18,25.7,20.0,31.7,0.0,,,11.2,,1022.7,
TLH,"72214",2018-10-19,24.7,20.0,31.1,0.0,,,7.6,,1022.1,
TLH,"72214",2018-10-20,24.7,18.9,32.2,0.0,,,10.1,,1016.9,
TLH,"72214",2018-10-21,20.2,15.0,22.8,0.0,,,15.1,,1019.6,
TLH,"72214",2018-10-22,17.7,12.2,24.4,0.0,,,9.4,,1022.2,
TLH,"72214",2018-10-23,19.6,16.7,21.7,0.8,,,5.4,,1020.3,
TLH,"72214",2018-10-24,20.1,15.0,26.7,0.0,,,9.4,,1018.8,
TLH,"72214",2018-10-25,19.1,16.1,23.3,6.4,,,14.4,,1015.6,
TLH,"72214",2018-10-26,22.3,15.0,28.3,7.1,,,16.9,,1007.1,
TLH,"72214",2018-10-27,16.6,10.0,21.1,0.0,,,12.6,,1013.7,
TLH,"72214",2018-10-28,15.1,6.7,25.6,0.0,,,3.6,,1020.2,
TLH,"72214",2018-10-29,19.4,12.2,28.3,0.0,,,4.3,,1019.3,
TLH,"72214",2018-10-30,17.9,10.0,27.2,0.0,,,3.2,,1020.6,
