FIPS;State;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share
50;Vermont;Baby Boomer; 	59.711 ; 	66.165 ; 	6.454 ;11 %;16,6 %;18,5 %;1,9 %
23;Maine;Baby Boomer; 	112.756 ; 	121.398 ; 	8.642 ;8 %;16,1 %;18,0 %;1,9 %
30;Montana;Baby Boomer; 	80.366 ; 	89.177 ; 	8.811 ;11 %;15,6 %;17,4 %;1,9 %
33;New Hampshire;Baby Boomer; 	111.395 ; 	122.030 ; 	10.635 ;10 %;15,4 %;17,4 %;2,0 %
56;Wyoming;Baby Boomer; 	48.536 ; 	55.516 ; 	6.980 ;14 %;15,1 %;17,1 %;2,0 %
42;Pennsylvania;Baby Boomer; 	958.933 ; 	1.062.787 ; 	103.854 ;11 %;15,2 %;17,1 %;1,8 %
9;Connecticut;Baby Boomer; 	290.672 ; 	312.615 ; 	21.943 ;8 %;15,5 %;17,0 %;1,6 %
41;Oregon;Baby Boomer; 	305.482 ; 	323.373 ; 	17.891 ;6 %;15,4 %;16,9 %;1,5 %
34;New Jersey;Baby Boomer; 	654.332 ; 	706.140 ; 	51.808 ;8 %;15,1 %;16,7 %;1,6 %
15;Hawaii;Baby Boomer; 	114.077 ; 	122.816 ; 	8.739 ;8 %;15,1 %;16,7 %;1,5 %
54;West Virginia;Baby Boomer; 	117.995 ; 	131.296 ; 	13.301 ;11 %;15,0 %;16,6 %;1,6 %
44;Rhode Island;Baby Boomer; 	78.204 ; 	83.282 ; 	5.078 ;6 %;14,6 %;16,5 %;1,9 %
39;Ohio;Baby Boomer; 	857.638 ; 	923.114 ; 	65.476 ;8 %;14,6 %;16,5 %;1,8 %
19;Iowa;Baby Boomer; 	249.960 ; 	278.050 ; 	28.090 ;11 %;14,9 %;16,4 %;1,6 %
55;Wisconsin;Baby Boomer; 	437.917 ; 	487.712 ; 	49.795 ;11 %;14,2 %;16,1 %;1,9 %
31;Nebraska;Baby Boomer; 	151.138 ; 	170.864 ; 	19.726 ;13 %;14,3 %;16,1 %;1,8 %
46;South Dakota;Baby Boomer; 	65.828 ; 	76.109 ; 	10.281 ;16 %;14,2 %;16,1 %;1,8 %
35;New Mexico;Baby Boomer; 	136.208 ; 	146.008 ; 	9.800 ;7 %;14,4 %;16,0 %;1,6 %
12;Florida;Baby Boomer; 	1.289.567 ; 	1.332.606 ; 	43.039 ;3 %;14,5 %;15,9 %;1,4 %
18;Indiana;Baby Boomer; 	455.471 ; 	500.668 ; 	45.197 ;10 %;14,1 %;15,8 %;1,7 %
20;Kansas;Baby Boomer; 	220.848 ; 	242.604 ; 	21.756 ;10 %;14,2 %;15,8 %;1,6 %
24;Maryland;Baby Boomer; 	413.538 ; 	456.858 ; 	43.320 ;10 %;14,3 %;15,8 %;1,5 %
36;New York;Baby Boomer; 	1.376.644 ; 	1.508.876 ; 	132.232 ;10 %;14,5 %;15,7 %;1,2 %
47;Tennessee;Baby Boomer; 	444.536 ; 	479.559 ; 	35.023 ;8 %;14,2 %;15,7 %;1,5 %
45;South Carolina;Baby Boomer; 	312.669 ; 	328.692 ; 	16.023 ;5 %;14,5 %;15,7 %;1,2 %
10;Delaware;Baby Boomer; 	65.969 ; 	71.230 ; 	5.261 ;8 %;14,1 %;15,7 %;1,6 %
26;Michigan;Baby Boomer; 	642.195 ; 	689.697 ; 	47.502 ;7 %;13,9 %;15,7 %;1,7 %
51;Virginia;Baby Boomer; 	592.020 ; 	648.134 ; 	56.114 ;9 %;14,1 %;15,5 %;1,4 %
27;Minnesota;Baby Boomer; 	416.327 ; 	469.518 ; 	53.191 ;13 %;13,8 %;15,5 %;1,8 %
17;Illinois;Baby Boomer; 	893.296 ; 	969.140 ; 	75.844 ;8 %;13,8 %;15,5 %;1,7 %
38;North Dakota;Baby Boomer; 	59.185 ; 	75.730 ; 	16.545 ;28 %;14,7 %;15,4 %;0,8 %
8;Colorado;Baby Boomer; 	361.806 ; 	410.949 ; 	49.143 ;14 %;13,8 %;15,4 %;1,6 %
53;Washington;Baby Boomer; 	472.180 ; 	519.680 ; 	47.500 ;10 %;14,0 %;15,4 %;1,4 %
29;Missouri;Baby Boomer; 	427.093 ; 	460.423 ; 	33.330 ;8 %;13,9 %;15,4 %;1,5 %
5;Arkansas;Baby Boomer; 	188.823 ; 	201.039 ; 	12.216 ;6 %;14,1 %;15,4 %;1,3 %
16;Idaho;Baby Boomer; 	104.518 ; 	111.311 ; 	6.793 ;6 %;13,8 %;15,4 %;1,6 %
40;Oklahoma;Baby Boomer; 	250.513 ; 	272.543 ; 	22.030 ;9 %;14,1 %;15,3 %;1,2 %
1;Alabama;Baby Boomer; 	306.699 ; 	317.124 ; 	10.425 ;3 %;13,9 %;15,2 %;1,4 %
37;North Carolina;Baby Boomer; 	643.690 ; 	691.053 ; 	47.363 ;7 %;13,9 %;15,2 %;1,3 %
28;Mississippi;Baby Boomer; 	180.203 ; 	190.696 ; 	10.493 ;6 %;13,8 %;15,1 %;1,3 %
25;Massachusetts;Baby Boomer; 	494.144 ; 	554.693 ; 	60.549 ;12 %;13,7 %;15,1 %;1,4 %
32;Nevada;Baby Boomer; 	192.492 ; 	187.966 ; 	(4.526);-2 %;13,9 %;15,0 %;1,2 %
2;Alaska;Baby Boomer; 	50.974 ; 	57.787 ; 	6.813 ;13 %;13,5 %;14,9 %;1,4 %
21;Kentucky;Baby Boomer; 	274.682 ; 	302.456 ; 	27.774 ;10 %;13,3 %;14,9 %;1,6 %
22;Louisiana;Baby Boomer; 	282.870 ; 	317.233 ; 	34.363 ;12 %;13,4 %;14,8 %;1,4 %
6;California;Baby Boomer; 	2.385.045 ; 	2.559.375 ; 	174.330 ;7 %;13,3 %;14,8 %;1,4 %
4;Arizona;Baby Boomer; 	387.842 ; 	414.199 ; 	26.357 ;7 %;13,1 %;14,7 %;1,6 %
11;District of Columbia;Baby Boomer; 	101.915 ; 	111.463 ; 	9.548 ;9 %;13,8 %;14,4 %;0,6 %
13;Georgia;Baby Boomer; 	590.124 ; 	633.469 ; 	43.345 ;7 %;12,8 %;14,2 %;1,4 %
48;Texas;Baby Boomer; 	1.495.872 ; 	1.761.585 ; 	265.713 ;18 %;12,9 %;14,2 %;1,3 %
49;Utah;Baby Boomer; 	152.925 ; 	176.682 ; 	23.757 ;16 %;11,2 %;12,6 %;1,5 %
11;District of Columbia;Millennial; 	249.724 ; 	266.116 ; 	16.392 ;7 %;34 %;34 %;0,5 %
49;Utah;Millennial; 	468.162 ; 	476.353 ; 	8.191 ;2 %;34 %;34 %;-0,1 %
38;North Dakota;Millennial; 	108.984 ; 	145.535 ; 	36.551 ;34 %;27 %;30 %;2,7 %
2;Alaska;Millennial; 	105.942 ; 	114.324 ; 	8.382 ;8 %;28 %;30 %;1,5 %
22;Louisiana;Millennial; 	595.306 ; 	622.746 ; 	27.440 ;5 %;28 %;29 %;0,9 %
4;Arizona;Millennial; 	847.384 ; 	809.154 ; 	(38.230);-5 %;29 %;29 %;0,1 %
53;Washington;Millennial; 	956.506 ; 	969.073 ; 	12.567 ;1 %;28 %;29 %;0,4 %
48;Texas;Millennial; 	3.274.785 ; 	3.543.753 ; 	268.968 ;8 %;28 %;28 %;0,3 %
6;California;Millennial; 	4.959.607 ; 	4.915.280 ; 	(44.327);-1 %;28 %;28 %;0,6 %
8;Colorado;Millennial; 	729.696 ; 	752.371 ; 	22.675 ;3 %;28 %;28 %;0,4 %
16;Idaho;Millennial; 	212.606 ; 	203.772 ; 	(8.834);-4 %;28 %;28 %;0,1 %
56;Wyoming;Millennial; 	87.202 ; 	90.543 ; 	3.341 ;4 %;27 %;28 %;0,8 %
27;Minnesota;Millennial; 	814.422 ; 	842.431 ; 	28.009 ;3 %;27 %;28 %;0,9 %
32;Nevada;Millennial; 	380.502 ; 	347.055 ; 	(33.447);-9 %;27 %;28 %;0,3 %
13;Georgia;Millennial; 	1.285.941 ; 	1.235.986 ; 	(49.955);-4 %;28 %;28 %;-0,3 %
40;Oklahoma;Millennial; 	480.616 ; 	491.668 ; 	11.052 ;2 %;27 %;28 %;0,5 %
28;Mississippi;Millennial; 	355.892 ; 	347.854 ; 	(8.038);-2 %;27 %;28 %;0,2 %
29;Missouri;Millennial; 	827.330 ; 	822.601 ; 	(4.729);-1 %;27 %;28 %;0,6 %
5;Arkansas;Millennial; 	366.389 ; 	359.874 ; 	(6.515);-2 %;27 %;28 %;0,1 %
15;Hawaii;Millennial; 	206.675 ; 	202.789 ; 	(3.886);-2 %;27 %;28 %;0,1 %
41;Oregon;Millennial; 	533.842 ; 	524.560 ; 	(9.282);-2 %;27 %;27 %;0,6 %
