"flight_date","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","airline","tail_number","flight_number","origin","dest","air_time","actual_elapsed_time","distance","cancelled","diverted"
"2018-10-01",540,545,-5,639,650,-11,DL,N910DL,708,TLH,ATL,41,59,223,0,0
"2018-10-01",625,600,25,821,805,16,DL,N813DN,1237,ECP,ATL,41,56,240,0,0
"2018-10-01",556,600,-4,757,807,-10,DL,N938DL,2714,VPS,ATL,42,61,250,0,0
"2018-10-01",615,622,-7,731,746,-15,MQ,N662EH,3570,TLH,MIA,61,76,402,0,0
"2018-10-01",623,634,-11,914,915,-1,OH,N555NN,5623,VPS,CLT,66,111,460,0,0
"2018-10-01",633,636,-3,754,810,-16,OH,N518AE,5584,TLH,CLT,61,81,386,0,0
"2018-10-01",639,644,-5,842,850,-8,OH,N534EA,5082,TLH,DCA,106,123,716,0,0
"2018-10-01",650,700,-10,856,920,-24,EV,N605QX,2889,ECP,DFW,98,126,685,0,0
"2018-10-01",651,700,-9,846,855,-9,EV,N13988,3979,ECP,IAH,91,115,572,0,0
"2018-10-01",721,700,21,1011,946,25,G4,"224NV",1900,VPS,CVG,87,110,600,0,0
"2018-10-01",655,700,-5,900,919,-19,AA,N984TW,1538,VPS,DFW,100,125,641,0,0
"2018-10-01",652,700,-8,800,804,-4,DL,N340NW,496,TLH,ATL,41,68,223,0,0
"2018-10-01",701,705,-4,853,903,-10,YV,N244LR,5725,DFW,VPS,89,112,641,0,0
"2018-10-01",713,715,-2,928,926,2,DL,N948DL,955,VPS,ATL,42,75,250,0,0
"2018-10-01",713,715,-2,920,925,-5,DL,N3759,2430,ECP,ATL,41,67,240,0,0
"2018-10-01",739,740,-1,904,900,4,WN,N756SA,1764,BNA,ECP,66,85,401,0,0
"2018-10-01",738,745,-7,851,900,-9,WN,N798SW,4197,ECP,BNA,62,73,401,0,0
"2018-10-01",744,750,-6,1028,1035,-7,EV,N717EV,2899,ECP,CLT,68,104,437,0,0
"2018-10-01",744,751,-7,847,916,-29,MQ,N245NN,4116,TLH,DFW,108,123,767,0,0
