"airport_code","station_id","week_start","date_year","cw","avg_temp_c","min_temp_c","max_temp_c","total_prec_mm","avg_wind_speed","avg_pressure_hpa"
VPS,KDTS0,2018-10-01,2018.0,40.0,27.31,23.90,32.20,0.0,8.53,1018.37
VPS,KDTS0,2018-10-29,2018.0,44.0,22.50,17.20,26.10,0.0,7.00,1019.65
VPS,KDTS0,2018-10-08,2018.0,41.0,24.94,15.60,31.70,0.0,16.14,1011.39
VPS,KDTS0,2018-10-15,2018.0,42.0,24.53,15.00,31.10,0.0,11.17,1019.86
TLH,"72214",2018-10-08,2018.0,41.0,24.40,12.80,31.70,84.9,15.70,1011.54
TLH,"72214",2018-10-01,2018.0,40.0,26.04,18.90,33.30,0.0,7.83,1018.84
VPS,KDTS0,2018-10-22,2018.0,43.0,19.39,12.20,25.60,0.0,12.11,1016.69
ECP,KECP0,2018-10-22,2018.0,43.0,18.33,8.30,27.20,2.1,11.03,1015.25
ECP,KECP0,2018-10-01,2018.0,40.0,26.11,20.00,33.30,0.0,7.66,1019.44
ECP,KECP0,2018-10-15,2018.0,42.0,22.10,20.60,30.00,,12.50,
TLH,"72214",2018-10-15,2018.0,42.0,24.66,15.00,32.80,0.0,8.64,1019.84
TLH,"72214",2018-10-29,2018.0,44.0,18.65,10.00,28.30,0.0,3.75,1019.95
ECP,KECP0,2018-10-08,2018.0,41.0,26.90,22.80,31.10,0.0,16.75,1014.20
ECP,KECP0,2018-10-29,2018.0,44.0,20.45,14.40,28.90,,4.95,1020.85
TLH,"72214",2018-10-22,2018.0,43.0,18.64,6.70,28.30,14.3,10.24,1016.84
