"faa","name","lat","lon","alt","tz","dst","city","country","flight_date","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","airline","tail_number","flight_number","origin","dest","air_time","actual_elapsed_time","distance","cancelled","diverted"
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-01",701,705,-4,853,903,-10,YV,N244LR,5725,DFW,VPS,89,112,641,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",722,725,-3,849,904,-15,EV,N16541,4182,IAH,PNS,71,87,489,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",745,740,5,822,822,0,OH,N545PB,5237,CLT,PNS,72,97,488,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-01",739,740,-1,904,900,4,WN,N756SA,1764,BNA,ECP,66,85,401,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",740,745,-5,852,905,-13,WN,N272WN,1156,BNA,PNS,59,72,391,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",814,820,-6,814,831,-17,DL,N989DL,2212,ATL,PNS,45,60,271,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-01",831,836,-5,931,941,-10,"9E",N922XJ,3281,ATL,TLH,35,60,223,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-01",847,850,-3,1008,1023,-15,YX,N408YX,4609,DCA,VPS,110,141,789,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-01",851,855,-4,918,931,-13,OH,N564NN,5564,CLT,VPS,73,87,460,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-01",900,900,0,1022,1025,-3,OH,N590NN,5272,CLT,TLH,62,82,386,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-01",902,900,2,902,903,-1,DL,N993DL,2029,ATL,ECP,46,60,240,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",909,915,-6,957,1003,-6,MQ,N698CB,3733,MIA,PNS,88,108,530,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-01",932,935,-3,1107,1117,-10,YV,N89349,6357,IAH,PNS,70,95,489,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-01",941,944,-3,941,950,-9,DL,N913DL,2716,ATL,VPS,40,60,250,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-01",952,1000,-8,1150,1145,5,EV,N14562,4451,IAH,ECP,93,118,572,0,0
